eventid,iyear,imonth,iday,approxdate,extended,resolution,country,country_txt,region,region_txt,provstate,city,latitude,longitude,specificity,vicinity,location,summary,crit1,crit2,crit3,doubtterr,alternative,alternative_txt,multiple,success,suicide,attacktype1,attacktype1_txt,attacktype2,attacktype2_txt,attacktype3,attacktype3_txt,targtype1,targtype1_txt,targsubtype1,targsubtype1_txt,corp1,target1,natlty1,natlty1_txt,targtype2,targtype2_txt,targsubtype2,targsubtype2_txt,corp2,target2,natlty2,natlty2_txt,targtype3,targtype3_txt,targsubtype3,targsubtype3_txt,corp3,target3,natlty3,natlty3_txt,gname,gsubname,gname2,gsubname2,gname3,gsubname3,motive,guncertain1,guncertain2,guncertain3,individual,nperps,nperpcap,claimed,claimmode,claimmode_txt,claim2,claimmode2,claimmode2_txt,claim3,claimmode3,claimmode3_txt,compclaim,weaptype1,weaptype1_txt,weapsubtype1,weapsubtype1_txt,weaptype2,weaptype2_txt,weapsubtype2,weapsubtype2_txt,weaptype3,weaptype3_txt,weapsubtype3,weapsubtype3_txt,weaptype4,weaptype4_txt,weapsubtype4,weapsubtype4_txt,weapdetail,nkill,nkillus,nkillter,nwound,nwoundus,nwoundte,property,propextent,propextent_txt,propvalue,propcomment,ishostkid,nhostkid,nhostkidus,nhours,ndays,divert,kidhijcountry,ransom,ransomamt,ransomamtus,ransompaid,ransompaidus,ransomnote,hostkidoutcome,hostkidoutcome_txt,nreleased,addnotes,scite1,scite2,scite3,dbsource,INT_LOG,INT_IDEO,INT_MISC,INT_ANY,related
1.98E+11,1983,3,20,,0,,217,United States,1,North America,Texas,San Antonio,29.42449,-98.494624,1,0,,"3/20/1983: The car belonging to oil baron John K. Mitchell was bombed in a parking lot in front of an exclusive apartment complex in San Antonio, Texas, United States.  There were no casualties, but Mitchell's Cadillac was destroyed and surrounding vehicles were damaged.  An unknown male claimed this incident for the Republic of Revolutionary (RPR).  However, an FBI investigation could not discover any information about what the RPR was or any possible motives behind the attack.",1,1,1,1,2,Other Crime Type,0,1,0,3,Bombing/Explosion,,,,,14,Private Citizens & Property,68,Named Civilian,,Car belonging to John K. Mitchell,217,United States,,,,,,,,,,,,,,,,,Unknown,,,,,,,0,,,0,-99,-99,1,2,Call (post-incident),,,,,,,,6,Explosives/Bombs/Dynamite,16,Unknown Explosive Type,,,,,,,,,,,,,Bomb placed near gas tank of vehicle,0,0,0,0,0,0,1,3,Minor (likely < $1 million),,Vehicle destroyed and surrounding cars damaged,0,,,,,,,0,,,,,,,,,"The bomb detonated around 3:15 AM.  In a one hour period after the bombing, the security office of the apartment complex received three calls from an unknown male believed to be Latin American.  The caller stated, ""I take responsibility for the bomb for Republic of Revolutionary.  Do not call police, sniper is in back and will kill anyone in uniform.""  Authorities believe that this incident was linked to the bombing Congressman Bill Archer's car in San Antonio one week later. (198303200010)  Both incidents used similar bomb materials and occurred a few blocks away from each other.","""FBI Analysis of Terrorist Incidents in the United States 1983,"" Terrorist Research and Analytical Center, Terrorism Section Criminal Investigative Division, FBI, 1983.","""Domestic News,"" Associated Press, March 27, 1983.","""Two Car Bombings Unsolved,"" The Victoria Advocate, March 29, 1983.",Hewitt Project,-9,-9,0,-9,
1.98E+11,1983,3,20,,0,,217,United States,1,North America,Texas,San Antonio,29.42449,-98.494624,1,0,,"3/27/1983:  An unknown perpetrator bombed the vehicle of Congressman Bill Archer, which was stationed outside of the San Antonio Country Club in Texas, United States.  There were no casualties but Archer's Chevrolet Camaro was destroyed.  Authorities could not establish a motive for this incident but  were confident that Archer himself was not targeted and that the car was only bombed because it had Congressional licence plates.",1,1,1,1,2,Other Crime Type,0,1,0,3,Bombing/Explosion,,,,,2,Government (General),15,Politician or Political Party Movement/Meeting/Rally,,Car belonging to a United States Congressman,217,United States,,,,,,,,,,,,,,,,,Unknown,,,,,,,0,,,0,-99,-99,0,,,,,,,,,,6,Explosives/Bombs/Dynamite,16,Unknown Explosive Type,,,,,,,,,,,,,Bomb placed between trunk and gas tank of vehicle,0,0,0,0,0,0,1,3,Minor (likely < $1 million),,Vehicle destroyed,0,,,,,,,0,,,,,,,,,"The bomb detonated at 12:52 AM.  Authorities did not believe Congressman Archer was specifically target because he had never been to San Antonio.  Moreover, his son and daughter were using the car at the time.  Despite the fact that no one claimed this attack, authorities suspected that this incident was linked to the bombing oilman John Mitchell's car in San Antonio one week earlier. (198303200009)  Both incidents used similar bomb materials and occurred a few blocks away from each other.","""Domestic News,"" Associated Press, March 27, 1983.","""Two Car Bombings Unsolved,"" The Victoria Advocate, March 29, 1983.","""Bomb Destroys Car Owned by Congressman,"" Lodi News-Sentinel, March 28, 1983.",Hewitt Project,-9,-9,0,-9,
1.98E+11,1983,4,23,,0,,217,United States,1,North America,District of Columbia,Washington,38.89037,-77.031959,1,0,,,1,1,1,-9,,,0,1,0,7,Facility/Infrastructure Attack,,,,,2,Government (General),21,Government Building/Facility/Office,,Office of environmental crimes division of Justice Department,217,United States,,,,,,,,,,,,,,,,,Unknown,,,,,,,0,,,0,,,,,,,,,,,,,8,Incendiary,,,,,,,,,,,,,,,Incendiary,0,,,0,,,1,,,,,0,,,,,,,0,,,,,,,,,,,,,PGIS,-9,-9,0,-9,
1.98E+11,1983,4,26,,0,,217,United States,1,North America,District of Columbia,Washington,38.89037,-77.031959,1,0,,,1,1,0,1,1,Insurgency/Guerilla Action,0,1,0,3,Bombing/Explosion,,,,,4,Military,28,Military Recruiting Station/Academy,,"Ft. McNair, National War College Building",217,United States,,,,,,,,,,,,,,,,,May 19 Communist Order,,,,,,,0,,,0,,,,,,,,,,,,,6,Explosives/Bombs/Dynamite,16,Unknown Explosive Type,,,,,,,,,,,,,Explosive,0,,,0,,,1,3,Minor (likely < $1 million),100000,,0,,,,,,,0,,,,,,,,,,,,,PGIS,0,0,0,0,
1.98E+11,1983,4,29,,0,,217,United States,1,North America,Puerto Rico,Unknown,18.220833,-66.590149,4,0,,"4/29/1983: In Puerto Rico, three suspected members of the Macheteros held the employees of Empresas Rojo, a Puerto Rican construction company, hostage in order to rob a Wells Fargo armored truck that was scheduled to arrive at the construction company.  However, the perpetrators abandoned their mission when they received information that the police were nearby.",1,0,1,0,2,Other Crime Type,0,0,0,5,Hostage Taking (Barricade Incident),,,,,1,Business,3,Bank/Commerce,Wells Fargo Bank,Wells Fargo armored truck in Puerto Rico,163,Puerto Rico,,,,,,,,,,,,,,,,,Macheteros,,,,,,To steal money to fund the Macheteros' revolutionary struggle to force the United States out of Puerto Rico.,1,,,0,3,-99,0,,,,,,,,,,5,Firearms,5,Unknown Gun Type,,,,,,,,,,,,,armed,0,0,0,0,0,0,0,,,,,1,-99,-99,-99,,,,0,,,,,,,,,This incident took place around 8:10 AM.  Authorities attributed this incident to the Macheteros because the robbery fit the group's modus operandi.,"""FBI Analysis of Terrorist Incidents in the United States 1983,"" Terrorist Research and Analytical Center, Terrorism Section Criminal Investigative Division, FBI, 1983.",,,Hewitt Project,0,0,0,0,
1.98E+11,1983,5,12,,0,,217,United States,1,North America,New York,Hempstead,40.70991,-73.622794,1,0,The incident occurred at an army reserve center near Hofstra college campus in Long Island.,"05/12/1983: A bomb exploded at the Roosevelt Army Reserve Center in Hempstead, Long Island, in New York, United States, causing extensive glass and structural damage.  No casualties resulted from the incident, which was claimed by the United Freedom Front (UFF). About twenty-five minutes before the explosion, an anonymous female claiming to speak for the UFF called the Middle Earth Crisis, warning of the bomb, and a similar call was made to the Dunkin Donuts near the reserve center.  The device was placed in an attaché case and labeled ""bomb, explosive.""  This incident is linked to the bombing of the U.S. Naval Army Reserve in Queens, New York less than two hours later, also by the UFF (198305130007).",1,1,1,0,,,1,1,0,3,Bombing/Explosion,,,,,4,Military,27,Military Barracks/Base/Headquarters/Checkpost,Roosevelt Army Reserve Center,army reserve center,217,United States,,,,,,,,,,,,,,,,,United Freedom Front (UFF),,,,,,Unknown,0,,,0,-99,-99,1,10,Unknown,,,,,,,,6,Explosives/Bombs/Dynamite,28,Dynamite/TNT,,,,,,,,,,,,,four sticks of dynamite placed inside attaché case,0,0,0,0,0,0,1,3,Minor (likely < $1 million),-99,extensive glass and structural damage,0,,,,,,,,,,,,,,,,Explosion occurred at 11:00pm.,"""Bombs in Attache Cases Damage Two Military Offices,"" The Associated Press, May 13, 1983.","Leonard Buder, ""F.B.I Is Seeking Terrorist Group For 2 Bombings,"" New York Times, May 14, 1983.","""FBI Analysis of Terrorist Incidents in the United States: 1983,"" Terrorist Research and Analytical Center, Terrorism Section, Criminal Investigative Division, FBI, DOJ, 1983.",Hewitt Project,0,0,0,0,"198305120006, 198305130007"
1.98E+11,1983,5,13,,0,,217,United States,1,North America,New York,New York City,40.728224,-73.794852,1,0,Queens; 150th Street and Sixth Avenue,"05/13/1983: A bomb exploded at the U.S. Naval Reserve Center in the Whitestone section of Queens, New York, United States, causing minimal damage.  No casualties resulted from the incident, which was attributed to the United Freedom Front (UFF) by authorities because of its similarity to the device used in the earlier bombing of the Roosevelt Army Reserve Center in Hempstead (198305120006). The device was concealed in an attaché case.",1,1,1,0,,,1,1,0,3,Bombing/Explosion,,,,,4,Military,27,Military Barracks/Base/Headquarters/Checkpost,Naval Reserve Center,naval reserve center,217,United States,,,,,,,,,,,,,,,,,United Freedom Front (UFF),,,,,,Unknown,0,,,0,-99,-99,0,,,,,,,,,,6,Explosives/Bombs/Dynamite,28,Dynamite/TNT,,,,,,,,,,,,,two sticks of dynamite placed inside attaché case,0,0,0,0,0,0,1,3,Minor (likely < $1 million),-99,minimal damage; blew off door and shattered glass,0,,,,,,,,,,,,,,,,Explosion occurred at about 12:21am.,"""Bombs in Attache Cases Damage Two Military Offices,"" The Associated Press, May 13, 1983.","Leonard Buder, ""F.B.I Is Seeking Terrorist Group For 2 Bombings,"" New York Times, May 14, 1983.","""FBI Analysis of Terrorist Incidents in the United States: 1983,"" Terrorist Research and Analytical Center, Terrorism Section, Criminal Investigative Division, FBI, DOJ, 1983.",Hewitt Project,0,0,0,0,"198305130007, 198305120006"
1.98E+11,1983,5,26,,0,,217,United States,1,North America,Virginia,Norfolk,36.846825,-76.285069,1,0,,"5/26/1983: Joseph Grace threw a firebomb into the Hillcrest Clinic in Norfolk, Virginia, United States.  There were no casualties but the abortion clinic sustained $250,000 in damages.",1,1,1,0,,,0,1,0,7,Facility/Infrastructure Attack,,,,,5,Abortion Related,40,Clinics,,Hillcrest Clinic,217,United States,,,,,,,,,,,,,,,,,Anti-Abortion extremists,,,,,,To protest the practice of abortion and to sabotage abortion facilities operating in Virginia.,0,,,0,1,1,0,,,,,,,,,,8,Incendiary,19,Molotov Cocktail/Petrol Bomb,,,,,,,,,,,,,Firebomb thrown into building,0,0,0,0,0,0,1,3,Minor (likely < $1 million),250000,Two procedure rooms and waiting room partially destroyed,0,,,,,,,0,,,,,,,,,"The abortion clinic was closed for three weeks as a result of the attack.  Joseph Grace was convicted of throwing the firebomb and sentenced to 10-20 years.  Less than a year later, the same abortion clinic was bombed (198402170004).","""Police in Salvi Case Ask: Why Norfolk?"" Toledo Blade, January 4th, 1995.","""Abortion Clinic Attacks,"" Washington Post, January 6, 1985.","""Chronological History of Arsons and Bombings Against Abortion Providers,"" National Abortion Federation.",Anti-Abortion Project 2010,-9,-9,0,-9,
1.98E+11,1983,5,30,,0,,217,United States,1,North America,Florida,Miami,25.764367,-80.201529,1,0,,,1,1,1,0,,,0,1,0,3,Bombing/Explosion,,,,,1,Business,3,Bank/Commerce,"Business, Bank",Continental Bank,217,United States,,,,,,,,,,,,,,,,,Omega-7,,,,,,,0,,,0,,,,,,,,,,,,,6,Explosives/Bombs/Dynamite,14,Time Fuse,,,,,,,,,,,,,Pipe bombs,,,,,,,1,,,,,0,,,,,,,0,,,,,,,,,,,,,HSI,1,1,0,1,
1.98E+11,1983,6,5,,0,,217,United States,1,North America,Oregon,Summit,44.638056,-123.5775,1,0,"on land owned by Starker Forest Inc., about one mile from Summit, in the Coast Range, in western Benton county","06/05/1983: Unknown perpetrators torched logging equipment, owned by Gassner Logging Company, which was located on land owned by Starker Forest Inc., just one mile outside of Summit, Oregon in the United States.  The heavy equipment, which included a front loader, was to be used for spraying herbicides.  The fire caused over $82,000 in damages, but there were no casualties in the incident.  Next to the burned equipment, the perpetrators wrote on a shed, ""No spray. You spray, you pay. You kill, we will.""",1,1,1,0,,,0,1,0,7,Facility/Infrastructure Attack,,,,,1,Business,5,Industrial/Textiles/Factory,Gassner Logging Company,logging equipment owned by Gassner Logging Company,217,United States,1,Business,5,Industrial/Textiles/Factory,Starker Forest Inc.,shed on land owned by Starker Forest Inc.,217,United States,,,,,,,,,Unknown,,,,,,To protest the use of herbicides,0,,,0,-99,-99,0,,,,,,,,,,8,Incendiary,18,Arson/Fire,,,,,,,,,,,,,,0,0,0,0,0,0,1,3,Minor (likely < $1 million),82000,"Front-end loader worth $70,000-$80,000 was destroyed along with damage to a log skidder, a tractor, and a bridge, and punctured tires in a trailer, totaling about another $12,000 in damages",0,,,,,,,0,,,,,,,,,,"""Equipment Burning Latest Incident In Dispute Over Herbicides,"" Associated Press, June 8, 1983.","""Burning of logging gear 'pure vandalism',"" The Register-Guard, June 8, 1983.","""Spray foes burn logging equipment,"" Bangor Daily News, June 7, 1983.",Eco Project 2010,-9,-9,0,-9,
1.98E+11,1983,7,6,,0,,217,United States,1,North America,New York,Rotterdam,42.786839,-73.971519,1,0,,"07/06/1983: Members of the United Freedom Front robbed Marine Midland Bank in Rotterdam, New York, United States. $68,466 were stolen.  It is unknown if anyone was injured in the incident.",1,0,1,1,2,Other Crime Type,0,1,0,5,Hostage Taking (Barricade Incident),,,,,1,Business,3,Bank/Commerce,Marine Midland Bank,bank,217,United States,,,,,,,,,,,,,,,,,United Freedom Front (UFF),,,,,,"The United Freedom Front believed in a Marxist philosophy and opposed US militarism in Central America, and the group sought to redistribute economic wealth in the U.S. and used bank robberies to finance their goals. Additionally, their efforts were to improve prison life.",0,,,0,-99,-99,0,,,,,,,,,,13,Unknown,,,,,,,,,,,,,,,,0,,,,,,1,3,Minor (likely < $1 million),68466,money stolen,0,,,,,,,,,,,,,,,,,"United Press International, March 9, 1987.","Brent L. Smith, ""Terrorism in America: Pipe Bombs and Pipe Dreams,"" State University of New York Press, 1994.","Christopher Hewitt, ""Political Violence and Terrorism in Modern America: A Chronology,"" Praeger Security International, 2005.",Hewitt Project,0,0,0,0,
1.98E+11,1983,7,15,,0,,217,United States,1,North America,Puerto Rico,Rio Piedras,18.399712,-66.049987,1,0,,"7/15/1983: Nine to fifteen suspected members of the Macheteros robbed a Wells Fargo armored truck in Rio Piedras, Puerto Rico.   $587,000 was stolen.  The driver of the truck, Pablo Ramirez, was shot and killed during this incident.",1,0,1,1,2,Other Crime Type,0,1,0,5,Hostage Taking (Barricade Incident),,,,,1,Business,3,Bank/Commerce,Wells Fargo Bank,Wells Fargo armored truck in Puerto Rico,163,Puerto Rico,,,,,,,,,,,,,,,,,Macheteros,,,,,,To steal money to fund the Macheteros' revolutionary struggle to force the United States out of Puerto Rico.,1,,,0,9,-99,0,,,,,,,,,,5,Firearms,5,Unknown Gun Type,,,,,,,,,,,,,heavily armed,1,1,0,0,0,0,1,3,Minor (likely < $1 million),587000,money stolen,0,,,,,,,0,,,,,,,,,Authorities attributed this incident to the Macheteros because the robbery fit the group's modus operandi.,"Ronald Fernandez, ""Los Macheteros: The Wells Fargo Robbery and the Violent Struggle for Puerto Rican Independence,"" Prentice Hall Press, 1987.","""FBI Analysis of Terrorist Incidents in the United States 1983,"" Terrorist Research and Analytical Center, Terrorism Section Criminal Investigative Division, FBI, 1983.","Christopher Hewitt, ""Political Violence and Terrorism in Modern America: A Chronology,"" Praeger Security International, 2005.",Hewitt Project,0,0,0,0,
1.98E+11,1983,7,28,,0,,217,United States,1,North America,Alabama,Montgomery,32.37578,-86.303036,1,0,,"07/28/1983: The Southern Poverty Law Center in Montgomery, Alabama, United States was set ablaze by unknown arsonist(s) in the early morning hours, causing damage to walls, doors, carpets, equipment, case files and books in the library.  The arson was set by using a petroleum-based liquid mixed with motor oil or diesel fuel, and though the perpetrators are unknown, the Ku Klux Klan is suspected to be responsible for the attack as the Center had several legal cases pending against the KK and the organization is home to Klanwatch, a group that monitors activities of the KKK, educates the public and leads litigation.  Additionally, the arson was set specifically to the office of the director of Klanwatch, Randall Williams.  There were no injuries in the incident.",1,1,1,1,2,Other Crime Type,0,1,0,7,Facility/Infrastructure Attack,,,,,12,NGO,61,Domestic NGO,Southern Poverty Law Center,Southern Poverty Law Center,217,United States,,,,,,,,,,,,,,,,,Ku Klux Klan,,,,,,"Uncertain; however, it is suspected that the KKK was responsible for the arson because the Southern Poverty Law Center was home to Klanwatch, a group that monitored activities of the KKK, and the Center also had several legal cases pending against the KKK in federal courts.",1,,,0,-99,-99,0,,,,,,,,,,8,Incendiary,18,Arson/Fire,,,,,,,,,,,,,petroleum-based liquid (possibly gasoline) was used with motor oil or diesel fuel to set fire in four corners of the building,0,0,0,0,0,0,1,3,Minor (likely < $1 million),-99,"damage to walls, doors, floors, computer equipment, books, and files",0,,,,,,,,,,,,,,,,"This could have been a purely criminal act if it was merely out of revenge, or some other personal reason. It was never made conclusive that the KKK committed the arson.","Diana Smith, ""Arson Damages Southern Poverty Law Center,"" The Associated Press, July 28, 1983.","""Fire Damages Alabama Center That Battles Klan,"" New York Times, July 31, 1983.","Christopher Hewitt, ""Political Violence and Terrorism in Modern America: A Chronology,"" Praeger Security International, 2005.",Hewitt Project,0,0,0,0,
